note0,note1,note2,note3
62,58,55,43
62,58,55,43
62,58,55,43
62,58,55,43
67,62,58,55
67,62,58,55
67,62,58,55
67,62,58,55
69,62,57,54
69,62,57,54
69,62,57,54
69,62,57,54
70,62,55,55
70,62,55,55
70,62,55,55
70,62,55,55
69,62,54,50
69,62,54,50
69,62,54,50
69,62,54,50
67,58,55,51
67,58,55,51
67,58,55,51
67,58,55,51
69,63,60,48
69,63,60,48
69,63,60,48
69,63,60,48
66,62,57,50
66,62,57,50
66,62,57,50
66,62,57,50
66,62,57,50
66,62,57,50
66,62,57,50
66,62,57,50
62,57,54,50
62,57,54,50
62,57,54,50
62,57,54,50
65,62,57,50
65,62,57,50
65,62,57,50
65,62,57,50
65,62,58,43
65,62,58,43
65,62,58,43
65,62,58,43
63,60,53,45
63,60,53,45
63,60,53,45
63,60,53,45
62,58,53,46
62,58,53,46
62,58,53,46
62,58,53,46
67,58,55,51
67,58,55,51
67,60,57,51
67,60,57,51
67,62,58,50
67,62,58,50
67,62,58,50
67,62,58,50
66,62,57,50
66,62,57,50
66,62,57,50
66,62,57,50
67,62,58,43
67,62,58,43
67,62,58,43
67,62,58,43
67,62,58,43
67,62,58,43
67,62,58,43
67,62,58,43
67,62,58,43
67,62,58,43
67,62,58,43
67,62,58,43
69,66,62,50
69,66,62,50
69,66,62,50
69,66,62,50
70,67,62,55
70,67,62,55
70,67,62,55
70,67,62,55
72,65,60,57
72,65,60,57
72,65,60,57
72,65,60,57
74,65,58,58
74,65,58,58
74,65,58,58
74,65,58,58
74,67,58,55
74,67,58,55
74,67,58,55
74,67,58,55
72,67,58,51
72,67,58,51
72,67,58,51
72,67,58,51
72,65,57,53
72,65,57,53
72,65,57,53
72,65,57,53
70,65,62,46
70,65,62,46
70,65,62,46
70,65,62,46
74,65,58,58
74,65,58,58
74,65,58,58
74,65,58,58
72,66,60,57
72,66,60,57
72,66,60,57
72,66,60,57
70,67,62,55
70,67,62,55
70,67,62,55
70,67,62,55
69,67,63,48
69,67,63,48
69,66,62,50
69,66,60,50
67,67,58,51
67,67,58,51
69,67,60,51
69,67,60,51
70,67,62,50
70,67,62,50
70,67,62,48
70,67,62,48
69,66,62,50
69,66,62,50
69,66,60,50
69,66,60,50
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
