note0,note1,note2,note3
62,59,55,43
62,59,55,43
62,60,57,43
62,60,57,43
67,62,59,55
67,62,59,55
67,62,59,55
67,62,59,55
69,62,57,54
69,62,57,54
69,62,57,54
69,62,57,54
71,67,64,52
71,67,64,52
71,67,64,50
71,67,64,50
72,67,64,48
72,67,64,48
74,67,60,48
76,67,60,48
74,67,59,50
74,67,59,50
74,64,55,50
74,64,55,50
72,66,57,50
72,66,57,50
71,66,57,50
71,66,57,50
71,62,55,43
71,62,55,43
71,62,55,43
71,62,55,43
76,60,55,48
76,60,55,48
76,59,55,48
76,59,55,48
74,57,54,50
74,57,54,50
74,57,54,50
74,57,54,50
72,64,55,52
72,64,55,52
72,64,57,54
72,64,57,54
71,62,59,55
71,62,59,55
71,62,57,55
71,62,57,55
69,64,55,48
69,64,55,48
71,64,55,48
72,64,55,48
71,62,55,50
71,62,55,50
71,62,55,50
71,62,55,50
69,62,54,50
69,62,54,50
67,62,54,50
67,62,54,50
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
74,67,59,55
74,67,59,55
74,67,59,55
74,67,59,55
76,67,60,48
76,67,60,48
76,67,59,48
76,67,59,48
76,69,57,49
76,69,57,49
76,67,57,49
76,67,57,49
69,66,62,50
69,66,62,50
69,66,62,50
69,66,62,50
69,66,62,50
69,66,62,50
69,66,62,48
69,66,62,48
74,67,62,47
74,67,62,47
74,69,60,45
74,69,60,45
74,67,62,47
74,67,62,47
74,65,62,47
74,65,62,47
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
71,67,62,43
71,67,62,43
71,67,62,43
71,67,62,43
69,67,62,50
69,67,62,50
69,66,57,50
69,66,57,50
67,64,59,50
67,64,59,50
67,64,57,49
67,64,57,49
66,64,57,50
66,64,57,50
66,62,57,54
66,62,57,54
67,62,55,59
67,62,55,59
66,62,57,57
66,62,57,57
64,62,59,55
64,62,59,55
64,62,59,52
64,62,59,52
64,61,57,57
64,61,57,57
64,61,55,57
64,61,55,57
62,57,54,50
62,57,54,50
62,57,54,50
62,57,54,50
74,59,66,47
74,59,66,47
74,57,66,47
74,57,66,47
72,55,64,52
72,55,64,52
72,57,64,54
72,57,64,54
71,59,62,55
71,59,62,55
71,60,64,55
71,60,64,55
69,62,57,55
69,62,57,55
69,62,57,54
69,62,57,54
71,62,55,55
71,62,55,55
72,64,55,52
72,64,55,52
69,64,55,48
69,64,55,48
69,64,55,45
69,64,55,45
69,62,54,50
69,62,54,50
69,62,54,50
69,62,54,50
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
