note0,note1,note2,note3
71,68,64,52
71,68,64,52
71,68,64,52
71,68,64,52
71,66,66,51
71,66,66,51
71,68,66,51
71,68,66,51
71,69,64,47
71,69,64,47
71,69,63,47
71,69,63,47
71,68,64,52
71,68,64,52
71,68,64,52
71,68,64,52
74,66,57,54
74,66,57,54
74,66,59,56
74,66,59,56
73,64,61,57
73,64,62,57
73,69,64,57
73,69,64,57
71,69,64,52
71,69,64,52
71,68,62,52
71,68,62,52
69,64,61,45
69,64,61,45
69,64,61,45
69,64,61,45
71,66,59,51
71,66,59,51
71,66,59,51
71,66,59,51
68,64,59,52
68,64,59,52
68,64,59,54
68,64,59,54
64,64,59,56
64,64,59,56
66,63,57,56
66,63,57,56
68,64,56,49
68,64,56,49
68,64,56,49
68,64,56,49
70,61,54,54
70,61,54,54
70,61,54,52
70,61,54,52
71,66,54,51
71,66,54,51
71,64,59,49
71,63,59,47
73,64,59,54
73,64,59,54
73,64,58,54
73,64,58,54
71,63,54,47
71,63,54,47
71,63,54,47
71,63,54,47
71,68,64,52
71,68,64,52
71,68,64,52
71,68,64,52
71,66,66,51
71,66,66,51
71,68,66,51
71,68,66,51
71,69,64,47
71,69,64,47
71,69,63,47
71,69,63,47
71,68,64,52
71,68,64,52
71,68,64,52
71,68,64,52
74,66,57,54
74,66,57,54
74,66,59,56
74,66,59,56
73,64,61,57
73,64,62,57
73,69,64,57
73,69,64,57
71,69,64,52
71,69,64,52
71,68,62,52
71,68,62,52
69,64,61,45
69,64,61,45
69,64,61,45
69,64,61,45
71,66,59,51
71,66,59,51
71,66,59,51
71,66,59,51
68,64,59,52
68,64,59,52
68,64,59,54
68,64,59,54
64,64,59,56
64,64,59,56
66,63,57,56
66,63,57,56
68,64,56,49
68,64,56,49
68,64,56,49
68,64,56,49
70,61,54,54
70,61,54,54
70,61,54,52
70,61,54,52
71,66,54,51
71,66,54,51
71,64,59,49
71,63,59,47
73,64,59,54
73,64,59,54
73,64,58,54
73,64,58,54
71,63,54,47
71,63,54,47
71,63,54,47
71,63,54,47
71,64,56,52
71,64,56,52
71,66,56,52
71,66,56,52
76,68,61,49
76,68,61,49
76,70,61,49
76,70,61,49
75,71,54,51
75,71,54,51
75,71,54,52
75,71,54,52
73,70,66,54
73,70,66,54
73,70,66,54
73,70,66,54
75,71,66,59
75,71,66,59
75,71,66,59
75,71,66,59
76,71,59,56
76,71,59,56
75,71,59,52
75,71,59,52
73,66,58,54
73,66,58,54
73,66,58,54
73,66,58,54
71,66,63,47
71,66,63,47
71,66,63,47
71,66,63,47
71,68,64,52
71,68,64,52
71,68,64,52
71,68,64,52
76,64,59,56
76,64,59,56
76,66,59,56
76,66,59,56
71,68,64,52
71,68,64,52
71,68,64,52
71,68,64,52
73,69,64,57
73,69,64,57
73,69,64,59
73,69,64,59
68,64,61,61
68,64,61,61
69,66,61,61
69,66,61,61
71,68,62,53
71,68,62,53
71,68,62,53
71,68,62,53
69,66,61,54
69,66,61,54
69,66,61,54
69,66,61,54
68,65,61,49
68,65,61,49
68,65,61,49
68,65,61,49
68,64,59,52
68,64,59,52
68,64,59,52
68,64,59,52
66,63,59,47
66,63,59,47
66,63,59,47
66,63,59,47
69,61,64,49
69,61,64,49
69,61,64,51
69,61,64,51
68,59,64,52
68,59,64,52
68,59,64,52
68,59,64,52
66,59,63,47
66,59,63,47
66,59,59,47
66,59,59,47
61,61,54,46
61,61,54,46
61,61,54,46
61,61,54,46
63,59,54,47
63,59,54,47
63,59,54,47
63,59,54,47
64,59,56,40
64,59,56,40
64,59,56,40
64,59,56,40
64,59,56,40
64,59,56,40
64,59,56,40
64,59,56,40
