note0,note1,note2,note3
67,62,62,46
67,62,62,46
67,62,60,45
67,62,60,45
70,62,58,43
70,62,58,43
70,62,58,45
70,62,58,45
67,62,58,46
67,62,58,46
67,62,58,48
67,62,58,48
65,62,57,50
65,62,57,50
65,62,57,48
65,62,57,48
67,62,58,46
67,62,58,46
69,66,60,45
69,66,60,45
70,67,62,43
70,67,62,43
70,67,62,46
70,67,62,46
69,67,63,48
69,67,63,48
69,66,62,50
69,66,60,50
67,62,58,43
67,62,58,43
67,62,58,43
67,62,58,43
70,67,62,55
70,67,62,55
70,67,62,55
70,67,62,55
70,67,62,43
70,67,62,43
70,67,62,45
70,67,62,45
70,67,62,46
70,67,62,46
70,67,62,48
70,67,62,48
70,65,62,50
70,65,62,50
70,63,55,51
70,63,55,51
65,63,57,53
65,63,57,53
65,62,58,53
65,60,58,53
67,62,58,53
67,62,58,53
67,64,57,53
67,65,57,53
70,67,55,52
70,67,55,52
70,67,60,52
70,67,60,52
69,65,60,53
69,65,60,53
69,65,60,53
69,65,60,53
69,65,60,41
69,65,60,41
69,65,58,43
69,65,58,43
72,65,57,45
72,65,57,45
72,65,55,46
72,65,55,46
72,64,57,48
72,64,57,48
72,66,57,50
72,66,57,50
72,67,55,51
72,67,55,51
70,66,60,51
69,66,60,51
67,67,58,51
67,67,58,51
69,62,57,42
69,62,57,42
70,62,55,43
70,62,55,43
70,67,62,46
70,67,62,46
69,67,63,48
69,67,63,48
69,66,62,50
69,66,60,50
67,62,58,43
67,62,58,43
67,62,58,43
67,62,58,43
69,66,62,50
69,66,62,50
69,66,62,50
69,66,62,50
70,67,62,43
70,67,62,43
70,67,62,45
70,67,62,45
67,62,58,46
67,62,58,46
67,62,58,48
67,62,58,48
65,62,57,50
65,62,57,50
65,62,57,48
65,62,57,48
67,62,58,46
67,62,58,46
69,66,60,45
69,66,60,45
70,67,62,43
70,67,62,43
70,67,62,46
70,67,62,46
69,67,63,48
69,67,63,48
69,66,62,50
69,66,60,50
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
67,62,59,43
