note0,note1,note2,note3
67,62,55,47
67,62,55,47
67,62,55,47
67,62,55,47
67,63,60,48
67,63,60,48
67,63,60,50
67,63,60,50
67,63,60,51
67,63,60,51
67,63,60,51
67,63,60,51
65,63,60,45
65,63,60,45
65,63,60,45
65,63,60,45
67,62,55,47
67,62,55,47
67,62,55,47
67,62,55,47
63,62,55,48
63,62,55,48
63,60,55,48
63,60,55,48
62,60,55,43
62,60,55,43
62,59,53,43
62,59,53,43
60,60,51,48
60,60,51,48
60,60,51,48
60,60,51,48
67,63,60,48
67,63,60,48
69,63,60,48
69,63,60,48
70,62,58,55
70,62,58,55
70,62,57,53
70,62,57,53
72,60,55,51
72,60,55,51
72,62,55,50
72,62,55,50
67,63,60,48
67,63,60,48
67,63,60,46
67,63,60,46
69,63,60,45
69,63,60,45
69,63,60,43
69,63,60,43
70,62,54,50
70,62,54,50
70,62,55,50
70,62,55,50
69,60,55,50
69,60,55,50
69,60,54,50
69,60,54,50
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,62,55,47
67,62,55,47
67,62,55,47
67,62,55,47
67,63,60,48
67,63,60,48
67,63,60,50
67,63,60,50
67,63,60,51
67,63,60,51
67,63,60,51
67,63,60,51
65,63,60,45
65,63,60,45
65,63,60,45
65,63,60,45
67,62,55,47
67,62,55,47
67,62,55,47
67,62,55,47
63,62,55,48
63,62,55,48
63,60,55,48
63,60,55,48
62,60,55,43
62,60,55,43
62,59,53,43
62,59,53,43
60,60,51,48
60,60,51,48
60,60,51,48
60,60,51,48
67,63,60,48
67,63,60,48
69,63,60,48
69,63,60,48
70,62,58,55
70,62,58,55
70,62,57,53
70,62,57,53
72,60,55,51
72,60,55,51
72,62,55,50
72,62,55,50
67,63,60,48
67,63,60,48
67,63,60,46
67,63,60,46
69,63,60,45
69,63,60,45
69,63,60,43
69,63,60,43
70,62,54,50
70,62,54,50
70,62,55,50
70,62,55,50
69,60,55,50
69,60,55,50
69,60,54,50
69,60,54,50
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
70,67,62,55
70,67,62,55
70,67,62,55
70,67,62,55
70,65,58,50
70,65,58,50
70,63,58,48
70,63,58,48
70,62,53,46
70,62,53,46
68,60,53,46
68,60,53,46
67,58,55,51
67,58,55,51
65,58,55,50
65,58,55,50
63,60,55,48
63,60,55,48
65,62,56,48
65,62,56,48
67,63,58,43
67,63,58,43
67,63,58,44
67,63,58,44
65,62,58,46
65,62,58,46
65,62,56,46
65,62,56,46
63,63,55,39
63,63,55,39
63,63,55,39
63,63,55,39
67,58,55,51
67,58,55,51
67,60,55,51
67,60,55,51
67,62,55,47
67,62,55,47
67,62,53,47
67,62,53,47
67,60,51,48
67,60,51,48
67,60,51,46
67,60,51,46
65,60,53,44
65,60,53,44
65,60,55,43
65,60,55,43
63,60,56,41
63,60,56,41
62,60,56,41
62,60,56,41
62,60,55,43
62,60,55,43
62,60,55,43
62,60,55,43
62,59,55,43
62,59,55,43
62,59,53,43
62,59,53,43
60,60,51,48
60,60,51,48
60,60,51,48
60,60,51,48
67,62,55,47
67,62,55,47
67,62,55,47
67,62,55,47
67,63,60,48
67,63,60,48
67,63,58,48
67,63,58,48
65,63,56,53
65,63,56,53
65,62,56,53
65,62,56,53
67,63,58,51
67,63,58,51
67,67,58,50
67,67,58,50
69,65,60,48
69,65,60,48
69,63,60,48
69,63,60,48
70,62,53,46
70,62,53,46
69,60,53,46
69,60,53,46
67,58,53,48
67,58,53,48
67,58,52,48
67,58,52,48
65,57,53,41
65,57,53,41
65,57,53,41
65,57,53,41
72,65,57,53
72,65,57,53
72,65,57,53
72,65,57,53
74,65,58,46
74,65,58,46
74,65,57,46
74,65,57,46
72,63,55,48
72,63,55,48
72,62,54,50
72,62,54,50
67,60,55,51
67,60,55,51
69,60,55,51
69,60,55,51
70,62,55,46
70,62,55,46
70,62,55,48
70,62,55,48
69,62,54,50
69,62,54,50
69,60,54,50
69,60,54,50
67,58,55,51
67,58,55,51
67,58,55,50
67,58,55,50
69,63,55,48
69,63,55,48
69,63,55,48
69,63,55,48
69,62,54,50
69,62,54,50
69,60,54,50
69,60,54,50
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
67,59,55,43
